part,polygons,vertices,x,y,z,com_x,com_y,com_z,ang_w,ang_x,ang_y,ang_z,bbox_volume,bbox_area,square1,square2,volume,surface_area,sphericity,mean_poly_area,dev_poly_area,skew_poly_area,kurt_poly_area,err_poly_area,bbox_fraction,volume_fraction,surface_fraction,poly_fraction,relative_poly_density,poly_vert_ratio,bbox_vol_ratio,efficiency,class,class 2
_6305_part1,2924,1462,-0.185147524,-0.055601019,-0.089128785,-0.193647534,-0.055600755,-0.089128733,180,0,0.6333,0.7739,2.27E-05,0.005156948,1.003,2.147,7.90E-06,0.004401692,0.28762545,1.51E-06,2.92E-06,3.802127872,16.2640181,1.940212469,0.000430443,0.000688705,0.002677374,0.009981089,14.49253922,2,2.875175342,0.407482359,bearing ring,
_6305_part2,6060,3030,-0.185147524,-0.055601019,-0.089128785,-0.193646997,-0.055633761,-0.089135401,180,0,0.6333,0.7739,6.52E-05,0.011876607,1.003,3.637,1.40E-05,0.008426905,0.19225537,1.39E-06,4.16E-06,6.959530254,51.53553057,2.988949298,0.001235199,0.001219431,0.005125751,0.020685841,16.96351756,2,4.659740153,0.302456276,bearing ring,
_6305_part3,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647549,-0.059906159,-0.06780906,180,0,0.6333,0.7739,1.50E-06,0.000786399,1,1.002,7.88E-07,0.000413201,0.997259991,2.86E-07,1.20E-07,-0.271870976,-1.124467585,0.418248924,2.84E-05,6.87E-05,0.000251334,0.004929101,71.76961176,1.994475138,1.905078305,0.999007305,ball bearing,
_6305_part3.001,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647549,-0.07495366,-0.079202041,180,0,0.2348,0.9721,1.50E-06,0.000786469,1.002,1.001,7.88E-07,0.000413201,0.997259991,2.86E-07,1.20E-07,-0.271870976,-1.124467585,0.418248924,2.84E-05,6.87E-05,0.000251334,0.004929101,71.76961176,1.994475138,1.905331687,0.998963238,ball bearing,
_6305_part3.002,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647549,-0.075428225,-0.098070078,180,0,-0.2102,0.9776,1.50E-06,0.000786577,1.003,1,7.88E-07,0.000413201,0.997258937,2.86E-07,1.20E-07,-0.271870931,-1.124467531,0.418248955,2.85E-05,6.87E-05,0.000251334,0.004929101,71.76971017,1.994475138,1.905728537,0.998893257,ball bearing,
_6305_part3.003,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647534,-0.060972504,-0.110205129,180,0,-0.6136,0.7896,1.50E-06,0.000786603,1,1.001,7.88E-07,0.000413201,0.997260578,2.86E-07,1.20E-07,-0.271870994,-1.124467571,0.418248916,2.85E-05,6.87E-05,0.000251334,0.004929101,71.76955996,1.994475138,1.905818329,0.998878043,ball bearing,
_6305_part3.004,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647534,-0.042471934,-0.106469259,180,0,-0.8954,0.4452,1.50E-06,0.000786423,1.001,1.001,7.88E-07,0.000413201,0.997259277,2.86E-07,1.20E-07,-0.271870843,-1.124467629,0.418248984,2.84E-05,6.87E-05,0.000251334,0.004929101,71.76969463,1.994475138,1.905168668,0.998990712,ball bearing,
_6305_part3.005,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647534,-0.033857837,-0.089675657,180,0,-0.9999,0.0126,1.50E-06,0.000786499,1.001,1.002,7.88E-07,0.000413201,0.997259691,2.86E-07,1.20E-07,-0.271871028,-1.124467469,0.418248915,2.84E-05,6.87E-05,0.000251334,0.004929101,71.76964283,1.994475138,1.905441149,0.998943776,ball bearing,
_6305_part3.006,1444,724,-0.185147524,-0.055601019,-0.089128785,-0.193647534,-0.04161679,-0.072470263,180,0,-0.9064,-0.4225,1.50E-06,0.000786432,1.001,1.001,7.88E-07,0.000413201,0.997259991,2.86E-07,1.20E-07,-0.271870976,-1.124467585,0.418248924,2.84E-05,6.87E-05,0.000251334,0.004929101,71.76961176,1.994475138,1.905199284,0.998986115,ball bearing,
_6311-z_part1,4716,2358,-0.24980548,1.96E-18,1.71E-18,-0.239392847,-3.28E-07,-3.71E-07,138.279,1,0,0,0.000310985,0.033459629,1.003,3.566,5.25E-05,0.023943748,0.150587833,5.08E-06,9.32E-06,3.946947384,20.01535263,1.836130104,0.005894684,0.004574617,0.01456403,0.01609809,3.519002742,2,5.927719439,0.23574438,bearing ring,casing
_6311-z_part2,6064,3032,-0.24980548,1.96E-18,1.71E-18,-0.235305592,4.76E-05,5.34E-05,138.279,1,0,0,0.000416432,0.042620013,1.003,4.126,7.97E-05,0.0284769,0.176302279,4.70E-06,1.36E-05,6.944813985,51.35433099,2.891797686,0.007893425,0.006946622,0.017321366,0.020699495,2.979792997,2,5.227254998,0.286317033,bearing ring,
_6311-z_part3,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,-0.032654684,0.029115742,138.279,1,0,0,8.67E-06,0.002531909,1,1.002,4.55E-06,0.001330764,0.997259545,9.22E-07,3.85E-07,-0.271870593,-1.124468131,0.418248998,0.000164311,0.00039695,0.000809451,0.004929101,12.41742341,1.994475138,1.904194702,0.999161668,ball bearing,
_6311-z_part3.001,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,-0.002502442,0.04367828,93.279,1,0,0,8.67E-06,0.002532215,1,1.002,4.55E-06,0.001330764,0.997260551,9.22E-07,3.85E-07,-0.27187045,-1.124468206,0.418249031,0.000164341,0.000396951,0.000809451,0.004929101,12.41741225,1.994475138,1.904539205,0.99910197,ball bearing,
_6311-z_part3.002,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,0.029115707,0.032654695,48.279,1,0,0,8.67E-06,0.002532814,1,1.001,4.55E-06,0.001330763,0.997260329,9.22E-07,3.85E-07,-0.271870304,-1.124468127,0.418249056,0.000164399,0.000396951,0.00080945,0.004929101,12.41742093,1.994475138,1.905216538,0.998983038,ball bearing,
_6311-z_part3.003,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,0.043678287,0.00250239,3.279,1,0,0,8.67E-06,0.002532437,1,1.002,4.55E-06,0.001330764,0.997260551,9.22E-07,3.85E-07,-0.27187045,-1.124468206,0.418249031,0.000164362,0.000396951,0.000809451,0.004929101,12.41741225,1.994475138,1.904789293,0.999058388,ball bearing,
_6311-z_part3.004,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,0.032654677,-0.029115746,41.721,-1,0,0,8.67E-06,0.002532608,1,1.001,4.55E-06,0.001330764,0.997259545,9.22E-07,3.85E-07,-0.271870593,-1.124468131,0.418248998,0.000164379,0.00039695,0.000809451,0.004929101,12.41742341,1.994475138,1.904985413,0.999022956,ball bearing,
_6311-z_part3.005,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,0.002502324,-0.043678291,86.7211,-1,0,0,8.67E-06,0.002531738,1,1.003,4.55E-06,0.001330763,0.997260009,9.22E-07,3.85E-07,-0.271870347,-1.124468183,0.418249054,0.000164294,0.000396951,0.00080945,0.004929101,12.41742093,1.994475138,1.904001716,0.999195873,ball bearing,
_6311-z_part3.006,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,-0.029115748,-0.032654673,131.721,-1,0,0,8.67E-06,0.002532546,1,1.002,4.55E-06,0.001330764,0.997260551,9.22E-07,3.85E-07,-0.27187045,-1.124468206,0.418249031,0.000164373,0.000396951,0.000809451,0.004929101,12.41741225,1.994475138,1.904911562,0.999037042,ball bearing,
_6311-z_part3.007,1444,724,-0.24980548,1.96E-18,1.71E-18,-0.235305548,-0.043678276,-0.002502614,176.7207,-1,0,0,8.67E-06,0.002532384,1.001,1.002,4.55E-06,0.001330764,0.997259497,9.22E-07,3.85E-07,-0.271870502,-1.124468101,0.41824899,0.000164357,0.00039695,0.000809451,0.004929101,12.41742217,1.994475138,1.904729808,0.999068182,ball bearing,
_nu 210 ecp + hj 210 ec_part1,5508,2754,-0.11925476,-6.82E-18,1.20E-17,-0.105186328,3.06E-05,-7.19E-06,77.6155,1,0,0,0.000102105,0.014559195,1.001,2.555,2.35E-05,0.012659696,0.175390925,2.30E-06,6.13E-06,3.905596882,16.20152121,2.667885667,0.001935391,0.002048419,0.00770039,0.018801587,9.178586424,2,4.346422145,0.26459534,bearing ring,
_nu 210 ecp + hj 210 ec_part2,3760,1880,-0.11925476,-6.82E-18,1.20E-17,-0.109254688,2.18E-05,-4.80E-06,77.6155,1,0,0,0.000161547,0.02334463,1.003,4.487,2.68E-05,0.014667589,0.160243498,3.90E-06,1.06E-05,4.06883138,16.9739061,2.710917081,0.003062103,0.00233397,0.008921711,0.01283478,5.499120381,2,6.035406059,0.263707069,bearing ring,
_nu 210 ecp + hj 210 ec_part3,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.007560133,0.034429818,77.6155,1,0,0,1.45E-06,0.000768271,1.091,1.003,1.13E-06,0.000592397,0.835833853,3.93E-07,1.24E-06,3.296166931,9.175393986,3.161009743,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384446,1.994708995,1.276932127,1.015627105,roller bearing,
_nu 210 ecp + hj 210 ec_part3.001,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.020160379,0.028915869,55.1155,1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.8358334,3.93E-07,1.24E-06,3.29616683,9.175393354,3.161009637,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384969,1.994708995,1.276933014,1.015626497,roller bearing,
_nu 210 ecp + hj 210 ec_part3.002,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.029691376,0.01899974,32.6155,1,0,0,1.45E-06,0.000768271,1.091,1.003,1.13E-06,0.000592397,0.835834386,3.93E-07,1.24E-06,3.296167024,9.175394809,3.161009678,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09380265,1.994708995,1.27693121,1.015627779,roller bearing,
_nu 210 ecp + hj 210 ec_part3.003,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.034702145,0.006191046,10.1154,1,0,0,1.45E-06,0.000768271,1.091,1.003,1.13E-06,0.000592397,0.835833853,3.93E-07,1.24E-06,3.296166931,9.175393986,3.161009743,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384446,1.994708995,1.276932127,1.015627105,roller bearing,
_nu 210 ecp + hj 210 ec_part3.004,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.034429818,-0.007560138,12.3845,-1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835834413,3.93E-07,1.24E-06,3.296166913,9.175394029,3.161009583,2.74E-05,9.88E-05,0.000360331,0.005147566,52.0937922,1.994708995,1.276931496,1.015627721,roller bearing,
_nu 210 ecp + hj 210 ec_part3.005,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.028915873,-0.020160368,34.8845,-1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835834386,3.93E-07,1.24E-06,3.296167024,9.175394809,3.161009678,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09380265,1.994708995,1.276931427,1.01562772,roller bearing,
_nu 210 ecp + hj 210 ec_part3.006,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.018999727,-0.029691383,57.3845,-1,0,0,1.45E-06,0.000768271,1.091,1.003,1.13E-06,0.000592397,0.835833853,3.93E-07,1.24E-06,3.296166931,9.175393986,3.161009743,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384446,1.994708995,1.27693191,1.015627164,roller bearing,
_nu 210 ecp + hj 210 ec_part3.007,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,0.006191047,-0.034702148,79.8846,-1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.8358334,3.93E-07,1.24E-06,3.29616683,9.175393354,3.161009637,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384969,1.994708995,1.276933014,1.015626497,roller bearing,
_nu 210 ecp + hj 210 ec_part3.008,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.007560149,-0.034429815,102.3845,-1,0,0,1.45E-06,0.000768271,1.091,1.003,1.13E-06,0.000592397,0.835834354,3.93E-07,1.24E-06,3.296167007,9.175394781,3.161009753,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09382356,1.994708995,1.276931289,1.015627735,roller bearing,
_nu 210 ecp + hj 210 ec_part3.009,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.020160357,-0.028915882,124.8845,-1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835833267,3.93E-07,1.24E-06,3.296166787,9.17539311,3.161009571,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09385492,1.994708995,1.276933249,1.015626325,roller bearing,
_nu 210 ecp + hj 210 ec_part3.010,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.029691381,-0.018999731,147.3845,-1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835834386,3.93E-07,1.24E-06,3.296167024,9.175394809,3.161009678,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09380265,1.994708995,1.276931427,1.01562772,roller bearing,
_nu 210 ecp + hj 210 ec_part3.011,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.034702137,-0.006191099,169.8845,-1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835834413,3.93E-07,1.24E-06,3.296166913,9.175394029,3.161009583,2.74E-05,9.88E-05,0.000360331,0.005147566,52.0937922,1.994708995,1.276931496,1.015627721,roller bearing,
_nu 210 ecp + hj 210 ec_part3.012,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.03442983,0.007560087,167.6156,1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835834386,3.93E-07,1.24E-06,3.296167024,9.175394809,3.161009678,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09380265,1.994708995,1.276931427,1.01562772,roller bearing,
_nu 210 ecp + hj 210 ec_part3.013,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.02891586,0.02016039,145.1155,1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.8358334,3.93E-07,1.24E-06,3.29616683,9.175393354,3.161009637,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384969,1.994708995,1.27693323,1.015626437,roller bearing,
_nu 210 ecp + hj 210 ec_part3.014,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.018999737,0.029691376,122.6155,1,0,0,1.45E-06,0.000768272,1.091,1.003,1.13E-06,0.000592397,0.835833853,3.93E-07,1.24E-06,3.296166931,9.175393986,3.161009743,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384446,1.994708995,1.276932993,1.015626868,roller bearing,
_nu 210 ecp + hj 210 ec_part3.015,1508,756,-0.11925476,-6.82E-18,1.20E-17,-0.109254733,-0.006191078,0.034702137,100.1155,1,0,0,1.45E-06,0.000768271,1.091,1.003,1.13E-06,0.000592397,0.835833853,3.93E-07,1.24E-06,3.296166931,9.175393986,3.161009743,2.74E-05,9.88E-05,0.000360331,0.005147566,52.09384446,1.994708995,1.27693191,1.015627164,roller bearing,
boolean1 (cut)_33,19408,9704,-0.125039831,4.13E-19,-1.18E-18,-0.142326087,9.51E-05,-0.000125068,151.7375,0.6843,0.6843,-0.2518,0.001135048,0.080904277,1,3.803,0.000560026,0.076692032,0.280419768,3.95E-06,1.06E-05,8.530305865,140.2821777,2.674536029,0.021514705,0.048832693,0.046648715,0.066249309,1.356658936,2,2.026779977,0.520492685,gear,
boolean2 (cut)_77,10440,5210,-1.84E-17,3.25E-18,-0.012771701,0.034506191,-0.000575756,-0.011361117,99.5924,-0.3779,0.3779,0.8452,0.007264096,0.241022555,1.001,2.14,0.00146116,0.201510511,0.171781904,1.93E-05,0.000128187,28.65105436,968.7737557,6.641212899,0.13769005,0.127409157,0.122570833,0.035636994,0.279705125,2.003838772,4.971458212,0.240589234,casing,
boss-extrude1,9898,4951,0.091866404,-1.84E-16,-0.012771701,0.075865477,0.000197125,-0.01212161,149.6346,0.6806,0.6806,-0.2714,0.001841875,0.10464787,3.55,1.004,0.000402666,0.053631995,0.344774503,5.42E-06,1.84E-05,6.629753695,53.43103598,3.404613946,0.03491251,0.035111368,0.032622211,0.033786874,0.962277367,1.999192082,4.574200521,0.426570915,shaft,
boss-extrude2,5200,2602,-0.378689945,-3.02E-18,-8.04E-19,-0.239759862,0.001643825,-0.002216206,142.9273,0.6662,0.6662,-0.3353,0.001103419,0.078899535,4.629,1.003,0.000684631,0.061809063,0.473810153,1.19E-05,4.12E-05,5.081621866,32.1914947,3.46662838,0.020915179,0.05969793,0.037595996,0.017750227,0.297334044,1.998462721,1.611699919,0.792023566,shaft,
cirpattern1[10],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618406,0.022602163,-0.014029514,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111089,1.08E-06,4.63E-07,-1.211733297,-0.120526309,0.429105099,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47939877,1.95,1.278482778,0.997994733,roller bearing,
cirpattern1[11],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618451,0.02040037,-0.022583235,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815092134,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.48025656,1.95,1.270642245,0.999982707,roller bearing,
cirpattern1[12],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618421,0.015092792,-0.029643228,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111473,1.08E-06,4.63E-07,-1.211733075,-0.120527572,0.429105159,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47938948,1.95,1.27848216,0.997995206,roller bearing,
cirpattern1[13],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618451,0.007487495,-0.034134693,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815103274,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.47975798,1.95,1.270624879,0.999996374,roller bearing,
cirpattern1[14],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618421,-0.0012577,-0.035373837,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111089,1.08E-06,4.63E-07,-1.211733297,-0.120526309,0.429105099,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47939877,1.95,1.278482778,0.997994733,roller bearing,
cirpattern1[15],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618466,-0.009811418,-0.033172041,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815092134,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.48025656,1.95,1.270642245,0.999982707,roller bearing,
cirpattern1[1],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312576,-0.036414456,-0.010745278,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002245058,1.001,1.001,3.80E-06,0.001179746,0.99729531,8.17E-07,3.42E-07,-0.272313224,-1.123729172,0.418183633,0.000137194,0.000331347,0.000717592,0.004929101,14.87595146,1.994475138,1.904732445,0.999091287,ball bearing,
cirpattern1[1].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618466,-0.021362878,-0.020259164,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815103274,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.47975798,1.95,1.270624879,0.999996374,roller bearing,
cirpattern1[2],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312584,-0.024316017,0.014410088,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002245101,1.001,1.001,3.80E-06,0.001179746,0.997296471,8.17E-07,3.42E-07,-0.272313036,-1.123729589,0.418183649,0.000137198,0.000331347,0.000717592,0.004929101,14.87593454,1.994475138,1.904785666,0.999082597,ball bearing,
cirpattern1[2].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618436,-0.022602022,-0.011513969,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111089,1.08E-06,4.63E-07,-1.211733297,-0.120526309,0.429105099,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47939877,1.95,1.278482778,0.997994733,roller bearing,
cirpattern1[3],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312591,0.002026424,0.023642762,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002244913,1,1.001,3.80E-06,0.001179746,0.99729531,8.17E-07,3.42E-07,-0.272313224,-1.123729172,0.418183633,0.000137181,0.000331347,0.000717592,0.004929101,14.87595146,1.994475138,1.904549155,0.999123091,ball bearing,
