part,polygons,vertices,x,y,z,com_x,com_y,com_z,ang_w,ang_x,ang_y,ang_z,bbox_volume,bbox_area,square1,square2,volume,surface_area,sphericity,mean_poly_area,dev_poly_area,skew_poly_area,kurt_poly_area,err_poly_area,bbox_fraction,volume_fraction,surface_fraction,poly_fraction,relative_poly_density,poly_vert_ratio,bbox_vol_ratio,efficiency,class,class 2
cirpattern1[3].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618481,-0.020400228,-0.002960249,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815092134,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.48025656,1.95,1.270642245,0.999982707,roller bearing,
cirpattern1[4],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312606,0.027181787,0.011544315,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002245405,1.001,1.002,3.80E-06,0.001179746,0.997296471,8.17E-07,3.42E-07,-0.272313036,-1.123729589,0.418183649,0.000137226,0.000331347,0.000717592,0.004929101,14.87593454,1.994475138,1.90517227,0.999015312,ball bearing,
cirpattern1[4].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618436,-0.01509265,0.004099743,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111473,1.08E-06,4.63E-07,-1.211733075,-0.120527572,0.429105159,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47938948,1.95,1.27848216,0.997995206,roller bearing,
cirpattern1[5],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312614,0.036414463,-0.014798129,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002244998,1.001,1.001,3.80E-06,0.001179746,0.99729531,8.17E-07,3.42E-07,-0.272313224,-1.123729172,0.418183633,0.000137189,0.000331347,0.000717592,0.004929101,14.87595146,1.994475138,1.904657196,0.999104292,ball bearing,
cirpattern1[5].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618466,-0.007487354,0.00859121,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815103274,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.47975798,1.95,1.270624879,0.999996374,roller bearing,
cirpattern1[6],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312614,0.02431602,-0.039953493,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002244987,1.001,1.001,3.80E-06,0.001179746,0.997296471,8.17E-07,3.42E-07,-0.272313036,-1.123729589,0.418183649,0.000137188,0.000331347,0.000717592,0.004929101,14.87593454,1.994475138,1.904641059,0.999107799,ball bearing,
cirpattern1[6].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618421,0.001257841,0.009830352,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111089,1.08E-06,4.63E-07,-1.211733297,-0.120526309,0.429105099,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47939877,1.95,1.278482778,0.997994733,roller bearing,
cirpattern1[7],1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312599,-0.00202642,-0.049186163,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002245265,1,1.001,3.80E-06,0.001179746,0.99729531,8.17E-07,3.42E-07,-0.272313224,-1.123729172,0.418183633,0.000137213,0.000331347,0.000717592,0.004929101,14.87595146,1.994475138,1.904996778,0.999044973,ball bearing,
cirpattern1[7].001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618466,0.00981156,0.007628558,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815092134,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.48025656,1.95,1.270642245,0.999982707,roller bearing,
cirpattern1[8],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618421,0.016871555,0.00232098,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111473,1.08E-06,4.63E-07,-1.211733075,-0.120527572,0.429105159,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47938948,1.95,1.27848216,0.997995206,roller bearing,
cirpattern1[9],156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618451,0.02136302,-0.005284318,150.7683,-0.6826,0.2608,-0.6826,2.13E-07,0.000213897,1,1.065,1.67E-07,0.000168341,0.815103274,1.08E-06,4.63E-07,-1.211733391,-0.1205265,0.429105093,4.03E-06,1.46E-05,0.000102395,0.000532507,36.47975798,1.95,1.270624879,0.999996374,roller bearing,
cut-extrude4,1996,984,1.04E-33,5.47E-18,0.087993219,-0.147222921,0.000388147,0.09454792,90,0,0,1,0.000383927,0.063822372,1.803,8.624,0.000340556,0.06585867,0.214286809,3.30E-05,0.000198907,14.58070055,230.9724666,6.028352106,0.007277285,0.029695562,0.040059211,0.006813356,0.229440226,2.028455285,1.127352391,0.859607705,casing,
cut-extrude7,8070,4003,0,0,0,-0.112682059,3.84E-05,-0.048595209,90,0,0,1,0.027861756,0.551877595,1.087,1.005,0.006831343,0.80105961,0.101329293,9.93E-05,0.000384639,18.06269241,524.0695948,3.874913869,0.528116178,0.595674408,0.487252718,0.027546987,0.04624504,2.015988009,4.078518232,0.16891784,casing,
cut-extrude8,324,164,0,0,0,-0.198295742,0.035796508,-0.079759628,90,0,0,1,6.70E-06,0.00332415,1.003,6.894,2.15E-06,0.002969962,0.14145761,9.17E-06,1.04E-05,2.325798849,4.431635868,1.135341423,0.000127024,0.000187728,0.00180651,0.001105976,5.891370713,1.975609756,3.112703481,0.359577156,casing,
extrude1 (cut)_33,14590,7295,-0.029645814,-1.89E-16,-0.012771701,-0.047446344,2.69E-05,-0.012669852,127.5393,-0.6153,-0.6153,-0.4927,0.000220229,0.023502414,1,2.175,0.000127621,0.026876733,0.308022621,1.84E-06,5.84E-06,10.25242902,130.1668398,3.172901977,0.004174407,0.011128176,0.016348048,0.049803041,4.475400049,2,1.725649876,0.506737814,gear,
extrude1 (merge)_30,8922,4463,-0.201103553,-0.055601019,-0.089128785,-0.11561121,-0.055606052,-0.088994071,157.0503,-0.6924,0.6924,0.203,0.000602127,0.049125676,3.376,1,0.000210166,0.031421951,0.401271265,3.52E-06,8.68E-06,4.166219445,19.72217185,2.464184038,0.011413235,0.018325864,0.019112724,0.030455293,1.661874887,1.999103742,2.86501031,0.545694022,shaft,gear
extrude1_11,296,148,-0.193197653,-3.82E-18,5.44E-18,-0.224697605,-1.15E-08,-3.53E-09,128.9632,0.6213,-0.6213,0.4774,0.000244957,0.023490024,1.009,1.003,3.64E-05,0.024623299,0.100058465,8.32E-05,7.54E-05,0.004231391,-1.994366274,0.90690265,0.004643132,0.003169931,0.014977374,0.001010398,0.318744284,2,6.738186405,0.141577487,bearing ring,
extrude5 (cut)_19,1328,656,-0.141526178,-0.538690925,0.249049962,0.120170787,0.000469267,-0.012776971,178.7587,0.7982,-0.6024,-0.0082,0.000476776,0.046477723,1,4.088,0.000163262,0.041010587,0.209058533,3.09E-05,4.18E-05,3.577769556,15.07450605,1.352268092,0.00903724,0.014236019,0.02494511,0.004533135,0.318427155,2.024390244,2.920311162,0.388078631,casing,
fillet1 (constant)_31_0,7282,3641,-0.03560498,-0.055601019,-0.089128785,-0.044212982,-0.055606119,-0.08903636,108.1406,0.4873,0.4873,-0.7247,0.000369935,0.040862,1,4.588,0.000193138,0.035575744,0.306099275,4.89E-06,1.47E-05,7.173047746,64.10001481,3.009625409,0.00701208,0.016841081,0.021639311,0.024857145,1.475982753,2,1.915396975,0.599662415,gear,
imported1,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523987,-0.036046259,-0.095482506,90,1,0,0,9.75E-07,0.000589901,1,1.002,5.12E-07,0.000310091,0.997297674,2.15E-07,8.98E-08,-0.272313086,-1.123729553,0.418183647,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3904988,1.994475138,1.90374003,0.999266721,ball bearing,
imported10,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523985,-0.067686535,-0.072494507,90,1,0,0,9.75E-07,0.000590078,1,1.001,5.12E-07,0.000310091,0.997296766,2.15E-07,8.98E-08,-0.272312707,-1.123729366,0.418183686,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3905968,1.994475138,1.904603391,0.999114627,ball bearing,
imported11,2728,1364,-0.024548041,-0.055601019,-0.089128785,-0.017524062,-0.055601019,-0.089128785,90,1,0,0,1.66E-05,0.004299487,1.003,2.445,5.26E-06,0.003482496,0.271945785,1.28E-06,2.37E-06,3.632559452,14.64206655,1.854730909,0.000315081,0.000458242,0.002118264,0.009312042,20.32123418,2,3.163069651,0.390316896,bearing ring,
imported12,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523985,-0.075155795,-0.095482521,90,1,0,0,9.76E-07,0.000590286,1.003,1,5.12E-07,0.000310091,0.997295683,2.15E-07,8.98E-08,-0.272313085,-1.123729545,0.418183646,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3907194,1.994475138,1.905609171,0.998938773,ball bearing,
imported2,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523985,-0.0435155,-0.105763063,90,1,0,0,9.75E-07,0.000590102,1.001,1.001,5.12E-07,0.000310091,0.997296766,2.15E-07,8.98E-08,-0.272312707,-1.123729366,0.418183686,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3905968,1.994475138,1.904719656,0.99909436,ball bearing,
imported3,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523987,-0.067686521,-0.105763063,90,1,0,0,9.76E-07,0.00059032,1.001,1,5.12E-07,0.000310091,0.99729544,2.15E-07,8.98E-08,-0.272312704,-1.123729375,0.418183687,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3907439,1.994475138,1.90577548,0.998908799,ball bearing,
imported4,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523985,-0.036046244,-0.082775049,90,1,0,0,9.76E-07,0.000590497,1.001,1.001,5.12E-07,0.000310091,0.997295683,2.15E-07,8.98E-08,-0.272313085,-1.123729545,0.418183646,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3907194,1.994475138,1.906632532,0.998759351,ball bearing,
imported5,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523987,-0.07515578,-0.082775064,90,1,0,0,9.75E-07,0.000590024,1,1.002,5.12E-07,0.000310091,0.997297674,2.15E-07,8.98E-08,-0.272313086,-1.123729553,0.418183647,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3904988,1.994475138,1.904335795,0.999162396,ball bearing,
imported6,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523987,-0.055601016,-0.109689884,90,1,0,0,9.75E-07,0.000590089,1,1.002,5.12E-07,0.000310091,0.997295686,2.15E-07,8.98E-08,-0.272312857,-1.123729659,0.418183662,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3907194,1.994475138,1.904657596,0.999104796,ball bearing,
imported7,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523987,-0.055601023,-0.068567686,90,1,0,0,9.76E-07,0.000590273,1.001,1.002,5.12E-07,0.000310091,0.997295686,2.15E-07,8.98E-08,-0.272312857,-1.123729659,0.418183662,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3907194,1.994475138,1.905548547,0.998948864,ball bearing,
imported8,3040,1520,-0.024548041,-0.055601019,-0.089128785,-0.017511155,-0.055601019,-0.089128785,90,1,0,0,4.39E-05,0.009396823,1.003,3.975,7.51E-06,0.005878212,0.177117691,1.93E-06,4.12E-06,5.128883006,26.424697,2.128917238,0.000832716,0.000654495,0.003575483,0.010377056,15.85505179,2,5.852913419,0.273126412,bearing ring,
imported9,1444,724,-0.024548041,-0.055601019,-0.089128785,-0.017523987,-0.043515518,-0.072494507,90,1,0,0,9.75E-07,0.000590078,1.001,1.002,5.12E-07,0.000310091,0.99729544,2.15E-07,8.98E-08,-0.272312704,-1.123729375,0.418183687,1.85E-05,4.47E-05,0.000188616,0.004929101,110.3907439,1.994475138,1.90460373,0.999113972,ball bearing,
revolve1 (merge)_29,3744,1872,-0.141526178,-0.538690925,0.249049962,0.133684114,1.25E-05,-0.012769669,178.7587,0.7982,-0.6024,-0.0082,5.39E-05,0.013073944,1.002,6.585,9.64E-06,0.011277063,0.085599701,3.01E-06,5.33E-06,2.891474395,9.117298374,1.768901883,0.001021331,0.00084051,0.006859389,0.012780163,15.20524689,2,5.589915724,0.207398384,bearing ring,casing
revolve1[1],3180,1590,0.107999988,-2.61E-18,-0.012771701,0.104060814,3.26E-09,-0.012771702,150.7683,-0.6826,0.2608,-0.6826,0.000244953,0.030065328,1.003,4.185,4.44E-05,0.019605737,0.172191915,6.17E-06,1.37E-05,4.761610083,23.52725062,2.225637059,0.004643056,0.003875825,0.01192539,0.010854947,2.800680129,2,5.510888521,0.27826665,bearing ring,
revolve1[1].001,3688,1844,0.107999988,-2.61E-18,-0.012771701,-0.004619822,5.96E-06,-0.012778321,150.7683,-0.6826,0.2608,-0.6826,1.35E-05,0.004802935,1.003,5.417,6.55E-07,0.002642969,0.05130289,7.17E-07,1.90E-06,4.006570639,15.32254326,2.65360463,0.000256821,5.72E-05,0.001607613,0.012589007,220.2596668,2,20.67075589,0.087914072,bearing ring,
revolve1[2],2760,1380,0.107999988,-2.61E-18,-0.012771701,0.103985853,2.35E-09,-0.012771703,150.7683,-0.6826,0.2608,-0.6826,8.48E-05,0.012765368,1.003,2.463,2.14E-05,0.010201998,0.221219348,3.70E-06,7.44E-06,4.229692129,19.58060352,2.012956875,0.00160814,0.001869079,0.00620547,0.009421274,5.040597768,2,3.958020838,0.316133156,bearing ring,
revolve1[2].001,3680,1840,0.107999988,-2.61E-18,-0.012771701,-0.004618503,7.03E-08,-0.012771741,150.7683,-0.6826,0.2608,-0.6826,2.15E-05,0.007211908,1.003,6.831,8.94E-07,0.003595958,0.044090881,9.77E-07,2.57E-06,3.897432279,14.46417287,2.632643075,0.000408409,7.80E-05,0.002187278,0.012561699,161.1391251,2,24.10068972,0.083215857,bearing ring,
revolve2,1444,724,0.107999988,-2.61E-18,-0.012771701,0.104312584,-0.027181784,-0.037087724,150.7683,-0.6826,0.2608,-0.6826,7.24E-06,0.002245481,1.001,1.001,3.80E-06,0.001179746,0.997296471,8.17E-07,3.42E-07,-0.272313036,-1.123729589,0.418183649,0.000137233,0.000331347,0.000717592,0.004929101,14.87593454,1.994475138,1.905269882,0.998997991,ball bearing,
revolve2.001,156,80,0.107999988,-2.61E-18,-0.012771701,-0.004618436,-0.016871413,-0.027864464,150.7683,-0.6826,0.2608,-0.6826,2.14E-07,0.000214789,1,1.069,1.67E-07,0.000168341,0.815111473,1.08E-06,4.63E-07,-1.211733075,-0.120527572,0.429105159,4.06E-06,1.46E-05,0.000102395,0.000532507,36.47938948,1.95,1.27848216,0.997995206,roller bearing,
thdschpat,4972,2488,0.133450001,-0.046138309,0.033107169,0.111490794,-0.046138298,0.033107169,180,0,0.7071,0.7071,1.79E-05,0.004467689,2.307,1.155,6.28E-06,0.003063657,0.393956842,6.16E-07,1.36E-06,8.275573841,84.57669351,2.207871242,0.000340035,0.000547754,0.001863501,0.016971948,30.98462015,1.998392283,2.855750298,0.510649136,screw,
thdschpat.001,4972,2488,0.022949997,-0.002122153,0.09418574,-0.004262649,-0.002122142,0.094185747,180,0,-0.9998,-0.0175,2.17E-05,0.005243381,2.788,1.155,7.41E-06,0.00344014,0.390431048,6.92E-07,1.69E-06,6.406869791,45.50272133,2.4487289,0.00041095,0.00064593,0.0020925,0.016971948,26.27522814,1.998392283,2.92674815,0.520774807,screw,
thdschpat.002,4912,2458,-0.094250858,-0.102646708,0.100918211,-0.094250858,-0.102646708,0.087874897,90,0,1,0,3.39E-06,0.001496826,2.544,1.155,1.01E-06,0.000933454,0.375312053,1.90E-07,4.21E-07,7.568008972,70.19694222,2.215338343,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515464,1.998372661,3.370091061,0.47581379,screw,
thdschpat.003,4972,2488,0.133450001,0.045714363,0.033589121,0.111490794,0.045714375,0.033589121,180,0,0.6486,0.7611,1.79E-05,0.004467691,2.307,1.155,6.28E-06,0.003063657,0.393956842,6.16E-07,1.36E-06,8.275573841,84.57669351,2.207871242,0.000340035,0.000547754,0.001863501,0.016971948,30.98462015,1.998392283,2.855751737,0.510649068,screw,
thdschpat.004,4972,2488,0.133450001,0.0460416,-0.058168434,0.111490794,0.046041612,-0.058168434,180,0,0.5988,0.8009,1.79E-05,0.00446769,2.307,1.155,6.28E-06,0.003063657,0.393957135,6.16E-07,1.36E-06,8.275573847,84.57669461,2.207871108,0.000340035,0.000547754,0.001863501,0.016971948,30.98459996,1.998392283,2.855749103,0.51064948,screw,
thdschpat.005,4972,2488,0.133450001,-0.045520958,-0.058671117,0.111490794,-0.045520946,-0.058671117,180,0,0.5607,0.828,1.79E-05,0.00446769,2.307,1.155,6.28E-06,0.003063657,0.393957135,6.16E-07,1.36E-06,8.275573847,84.57669461,2.207871108,0.000340035,0.000547754,0.001863501,0.016971948,30.98459996,1.998392283,2.855749103,0.51064948,screw,
thdschpat.006,4972,2488,0.022949997,-0.106957436,-0.014893855,-0.004262649,-0.106957428,-0.014893849,180,0,-0.9953,-0.0969,2.17E-05,0.005243382,2.788,1.155,7.41E-06,0.00344014,0.390431185,6.92E-07,1.69E-06,6.406869521,45.50271545,2.448728902,0.00041095,0.00064593,0.002092501,0.016971948,26.27521685,1.998392283,2.926747309,0.520774988,screw,
thdschpat.007,4972,2488,0.022949997,0.002122153,-0.119729146,-0.004262649,0.002122163,-0.119729139,180,0,-0.9871,-0.1602,2.17E-05,0.005243381,2.788,1.155,7.41E-06,0.003440139,0.390431207,6.92E-07,1.69E-06,6.406869875,45.50272264,2.448729042,0.00041095,0.00064593,0.0020925,0.016971948,26.2752233,1.998392283,2.926747422,0.520775015,screw,
thdschpat.008,4972,2488,0.022949997,0.106957436,-0.01064955,-0.004262649,0.106957443,-0.010649543,180,0,-0.9785,-0.2061,2.17E-05,0.005243383,2.788,1.155,7.41E-06,0.00344014,0.390431053,6.92E-07,1.69E-06,6.406869537,45.50271603,2.448729002,0.00041095,0.00064593,0.002092501,0.016971948,26.2752233,1.998392283,2.926748856,0.520774766,screw,
thdschpat.009,4912,2458,-0.092374235,-0.031705029,0.100918211,-0.092374228,-0.031705029,0.087874897,90.5133,-0.0942,0.9911,0.0942,3.39E-06,0.001496827,2.544,1.155,1.01E-06,0.000933454,0.375312053,1.90E-07,4.21E-07,7.568008972,70.19694222,2.215338343,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515464,1.998372661,3.370091588,0.475813766,screw,
thdschpat.010,4912,2458,-0.092374235,0.035450503,0.100918211,-0.092374235,0.035450503,0.087874889,92.3393,-0.198,0.96,0.198,3.39E-06,0.001496827,2.544,1.155,1.01E-06,0.000933454,0.375311981,1.90E-07,4.21E-07,7.568009289,70.19694807,2.215338363,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515464,1.998372661,3.370092174,0.47581367,screw,
thdschpat.011,4912,2458,-0.094250858,0.102646708,0.100918211,-0.094250858,0.102646708,0.087874897,95.7392,-0.3015,0.9045,0.3015,3.39E-06,0.001496827,2.544,1.155,1.01E-06,0.000933454,0.375312016,1.90E-07,4.21E-07,7.568008953,70.19694202,2.215338311,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515896,1.998372661,3.370092191,0.475813725,screw,
thdschpat.012,4912,2458,-0.198073313,0.102646708,0.100918211,-0.198073313,0.102646708,0.087874897,100.5568,-0.3935,0.8309,0.3935,3.39E-06,0.001496827,2.544,1.155,1.01E-06,0.000933454,0.375312053,1.90E-07,4.21E-07,7.568008972,70.19694222,2.215338343,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515464,1.998372661,3.370091588,0.475813766,screw,
thdschpat.013,4912,2458,-0.200003028,0.035450503,0.100918211,-0.200003028,0.035450503,0.087874889,106.1519,-0.4665,0.7515,0.4665,3.39E-06,0.001496826,2.544,1.155,1.01E-06,0.000933454,0.375312016,1.90E-07,4.21E-07,7.568008953,70.19694202,2.215338311,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515896,1.998372661,3.370091178,0.475813769,screw,
thdschpat.014,4912,2458,-0.200003028,-0.031705029,0.100918211,-0.200003028,-0.031705029,0.087874897,111.6162,-0.5189,0.6794,0.5189,3.39E-06,0.001496827,2.544,1.155,1.01E-06,0.000933454,0.375311981,1.90E-07,4.21E-07,7.568009289,70.19694807,2.215338363,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515464,1.998372661,3.370092174,0.47581367,screw,
thdschpat.015,4912,2458,-0.198073313,-0.102646708,0.100918211,-0.198073313,-0.102646708,0.087874897,116.0983,-0.5527,0.6237,0.5527,3.39E-06,0.001496826,2.544,1.155,1.01E-06,0.000933454,0.375312016,1.90E-07,4.21E-07,7.568008953,70.19694202,2.215338311,6.43E-05,8.78E-05,0.000567783,0.016767138,191.0515896,1.998372661,3.370091178,0.475813769,screw,
